Date,Open,High,Low,Close,Volume,Adjusted
2023-02-27,19821.029297,20086.529297,19804.560547,19943.509766,1897627300,19943.509766
2023-02-28,20020.169922,20185.050781,19783.070313,19785.939453,2751875300,19785.939453
2023-03-01,19849.970703,20674.070313,19849.970703,20619.710938,2889639700,20619.710938
2023-03-02,20390.019531,20548.570313,20321.25,20429.460938,1992565500,20429.460938
2023-03-03,20703.140625,20727.25,20498.160156,20567.539063,2226145400,20567.539063
2023-03-06,20437.869141,20702.75,20410,20603.189453,2485355800,20603.189453
2023-03-07,20606.830078,21005.660156,20358.779297,20534.480469,3634829700,20534.480469
2023-03-08,20256.890625,20269.929688,19969.470703,20051.25,2643542900,20051.25
2023-03-09,20082.419922,20157.240234,19907.580078,19925.740234,2193340400,19925.740234
2023-03-10,19580.779297,19637.720703,19281.970703,19319.919922,3587989800,19319.919922
2023-03-13,19411.880859,19791.640625,19390.380859,19695.970703,3133740000,19695.970703
2023-03-14,19524.509766,19639.519531,19122.820313,19247.960938,3027393700,19247.960938
2023-03-15,19523.490234,19745.439453,19431.089844,19539.869141,2633910800,19539.869141
2023-03-16,19197.970703,19388.769531,19109.070313,19203.910156,3047393400,19203.910156
2023-03-17,19439.839844,19597.179688,19303.289063,19518.589844,4332277000,19518.589844
2023-03-20,19352.900391,19382.970703,18829.109375,19000.710938,2839042600,19000.710938
2023-03-21,19118.869141,19295.640625,19018.099609,19258.759766,1929683800,19258.759766
2023-03-22,19428.359375,19775.689453,19428.359375,19591.429688,2364133200,19591.429688
2023-03-23,19619.740234,20051.259766,19523.5,20049.640625,2531213200,20049.640625
2023-03-24,19919.650391,20118.289063,19834.449219,19915.679688,2306894000,19915.679688
2023-03-27,19851.789063,19938.769531,19509.490234,19567.689453,2503607400,19567.689453
2023-03-28,19688.310547,19875.109375,19559.470703,19784.650391,1935094200,19784.650391
2023-03-29,20348.640625,20437.689453,20107.730469,20192.400391,2597427400,20192.400391
2023-03-30,20216.789063,20320.019531,20017.169922,20309.130859,2981984600,20309.130859
2023-03-31,20583.880859,20721.970703,20357.410156,20400.109375,3044982800,20400.109375
